"session","year","issue","mean_dist_us","mean_dist_china","pct_closer_china"
22,1967,"All",2.6038358875,NA,NA
22,1967,"Non-Nuclear",2.591333875,NA,NA
23,1968,"All",2.33786829875,NA,NA
23,1968,"Non-Nuclear",2.34189642875,NA,NA
24,1969,"All",2.1537820375,NA,NA
24,1969,"Non-Nuclear",2.1462378125,NA,NA
25,1970,"All",1.93747278375,NA,NA
25,1970,"Human Rights",2.13685145125,NA,NA
25,1970,"Non-Nuclear",1.91109791,NA,NA
26,1971,"All",1.5695554875,1.1741349125,0.5
26,1971,"Human Rights",2.10500505,1.64949395,0.5
26,1971,"Non-Nuclear",1.5774943125,1.0685136875,0.625
27,1972,"All",1.910753,0.9409212,0.875
27,1972,"Human Rights",2.40190860875,1.52418639125,0.75
27,1972,"Non-Nuclear",1.9615946375,1.0267726625,0.875
28,1973,"All",2.052086580375,0.717545319625,1
28,1973,"Human Rights",2.592302105,1.153718495,1
28,1973,"Non-Nuclear",2.081268969375,0.687365330625,1
29,1974,"All",1.82698990125,1.10701819875,1
29,1974,"Human Rights",2.629962975,0.801265925,1
29,1974,"Middle East",3.46471974875,0.87694325125,0.875
29,1974,"Non-Nuclear",1.9276481225,1.0458228775,1
30,1975,"All",2.3913552325,0.2924396925,1
30,1975,"Human Rights",2.826042998875,0.673677601125,1
30,1975,"Middle East",3.64552125,0.66885675,1
30,1975,"Non-Nuclear",2.5677024825,0.3104738925,1
31,1976,"All",3.008146935,0.795480065,1
31,1976,"Human Rights",3.09423784375,0.81584615625,1
31,1976,"Middle East",3.9729193,0.5115517,1
31,1976,"Non-Nuclear",3.07213750375,0.84409449625,1
32,1977,"All",2.51410915375,0.69334994625,1
32,1977,"Human Rights",3.1689645657625,0.6594081342375,1
32,1977,"Middle East",3.9198605875,0.4904424125,1
32,1977,"Non-Nuclear",2.5227402135,0.7312814865,1
33,1978,"All",2.49668036,0.384407584444444,1
33,1978,"Human Rights",3.23951816666667,0.571974211111111,1
33,1978,"Middle East",3.79281135444444,0.657780645555556,1
33,1978,"Non-Nuclear",2.44160286111111,0.410227883333333,1
33,1978,"Nuclear",3.48293991111111,1.46509701111111,1
34,1979,"All",2.52223930777778,0.389819254444444,1
34,1979,"Human Rights",3.527157774,0.558374170444444,1
34,1979,"Middle East",3.39292481888889,0.753598381111111,1
34,1979,"Non-Nuclear",2.44515095,0.380222867777778,1
34,1979,"Nuclear",3.50762561111111,1.30478711111111,1
35,1980,"All",2.73385662733333,0.507223372666667,1
35,1980,"Human Rights",3.48751303333333,0.693584522222222,1
35,1980,"Middle East",3.43495737777778,0.682128411111111,1
35,1980,"Non-Nuclear",2.61198902,0.483481797777778,1
35,1980,"Nuclear",3.60581834444444,1.08923264444444,1
36,1981,"All",3.18473142666667,0.526234615555556,1
36,1981,"Human Rights",3.58271115271111,0.642014013955556,1
36,1981,"Middle East",3.85156025555556,0.459242333333333,1
36,1981,"Non-Nuclear",3.09844244555556,0.472988057777778,1
36,1981,"Nuclear",3.81097166666667,0.979796466666667,1
37,1982,"All",2.99313356233333,0.569075329,1
37,1982,"Human Rights",3.47623332222222,0.443101847777778,1
37,1982,"Middle East",3.56222070777778,0.480150714444444,1
37,1982,"Non-Nuclear",2.96704143133333,0.484815576888889,1
37,1982,"Nuclear",3.80192827888889,1.09052667888889,1
