"ccode","session","IdealPoint","NVotes","Countryname","year","issue","country_label","is_asean","us_ip","china_ip","dist_us","dist_china","signed_dist_us","signed_dist_china","closer_to"
775,22,-0.3535548,55,"Myanmar (Burma)",1967,"All","Myanmar",TRUE,2.426986,NA,2.7805408,NA,-2.7805408,NA,NA
775,23,-0.3450435,42,"Myanmar (Burma)",1968,"All","Myanmar",TRUE,2.295532,NA,2.6405755,NA,-2.6405755,NA,NA
775,24,-0.1445155,43,"Myanmar (Burma)",1969,"All","Myanmar",TRUE,2.119463,NA,2.2639785,NA,-2.2639785,NA,NA
775,25,0.1355665,62,"Myanmar (Burma)",1970,"All","Myanmar",TRUE,2.171009,NA,2.0354425,NA,-2.0354425,NA,NA
775,26,-0.2501292,117,"Myanmar (Burma)",1971,"All","Myanmar",TRUE,1.767618,-0.9760724,2.0177472,0.7259432,-2.0177472,0.7259432,"China"
775,27,-0.1410814,101,"Myanmar (Burma)",1972,"All","Myanmar",TRUE,2.135975,-0.7156992,2.2770564,0.5746178,-2.2770564,0.5746178,"China"
775,28,0.000241577,91,"Myanmar (Burma)",1973,"All","Myanmar",TRUE,2.195541,-0.5740909,2.195299423,0.574332477,-2.195299423,0.574332477,"China"
775,29,0.07224641,72,"Myanmar (Burma)",1974,"All","Myanmar",TRUE,2.077391,-0.8566171,2.00514459,0.92886351,-2.00514459,0.92886351,"China"
775,30,-0.03548996,66,"Myanmar (Burma)",1975,"All","Myanmar",TRUE,2.360075,-0.2756341,2.39556496,0.24014414,-2.39556496,0.24014414,"China"
775,31,-0.3278739,77,"Myanmar (Burma)",1976,"All","Myanmar",TRUE,2.750583,-1.053044,3.0784569,0.7251701,-3.0784569,0.7251701,"China"
775,32,-0.467575,91,"Myanmar (Burma)",1977,"All","Myanmar",TRUE,2.313392,-0.8193988,2.780967,0.3518238,-2.780967,0.3518238,"China"
775,33,0.1442879,127,"Myanmar (Burma)",1978,"All","Myanmar",TRUE,2.295686,-0.2469549,2.1513981,0.3912428,-2.1513981,0.3912428,"China"
775,34,0.3520118,122,"Myanmar (Burma)",1979,"All","Myanmar",TRUE,2.354093,-0.05311142,2.0020812,0.40512322,-2.0020812,0.40512322,"China"
775,35,0.39358,103,"Myanmar (Burma)",1980,"All","Myanmar",TRUE,2.450686,-0.03347984,2.057106,0.42705984,-2.057106,0.42705984,"China"
775,36,0.2758482,127,"Myanmar (Burma)",1981,"All","Myanmar",TRUE,2.767644,-0.02059494,2.4917958,0.29644314,-2.4917958,0.29644314,"China"
775,37,0.3025197,150,"Myanmar (Burma)",1982,"All","Myanmar",TRUE,2.654563,0.1867089,2.3520433,0.1158108,-2.3520433,0.1158108,"China"
775,38,0.1736854,141,"Myanmar (Burma)",1983,"All","Myanmar",TRUE,2.653316,0.1706566,2.4796306,0.0030288,-2.4796306,0.0030288,"China"
775,39,0.09402065,146,"Myanmar (Burma)",1984,"All","Myanmar",TRUE,2.84451,0.1715943,2.75048935,0.07757365,-2.75048935,-0.07757365,"China"
775,40,-0.05840648,150,"Myanmar (Burma)",1985,"All","Myanmar",TRUE,2.85444,0.1814985,2.91284648,0.23990498,-2.91284648,-0.23990498,"China"
775,41,0.06700049,151,"Myanmar (Burma)",1986,"All","Myanmar",TRUE,2.985282,0.1866047,2.91828151,0.11960421,-2.91828151,-0.11960421,"China"
775,42,-0.1309611,139,"Myanmar (Burma)",1987,"All","Myanmar",TRUE,3.070334,0.1958159,3.2012951,0.326777,-3.2012951,-0.326777,"China"
775,43,-0.2477286,132,"Myanmar (Burma)",1988,"All","Myanmar",TRUE,3.068073,-0.02298023,3.3158016,0.22474837,-3.3158016,-0.22474837,"China"
775,44,-0.3986103,77,"Myanmar (Burma)",1989,"All","Myanmar",TRUE,3.15064,-0.07522176,3.5492503,0.32338854,-3.5492503,-0.32338854,"China"
775,45,-0.3229671,85,"Myanmar (Burma)",1990,"All","Myanmar",TRUE,3.06766,-0.1670653,3.3906271,0.1559018,-3.3906271,-0.1559018,"China"
775,46,-0.4307426,71,"Myanmar (Burma)",1991,"All","Myanmar",TRUE,2.977167,-0.3023714,3.4079096,0.1283712,-3.4079096,-0.1283712,"China"
775,47,-0.8682711,71,"Myanmar (Burma)",1992,"All","Myanmar",TRUE,3.000798,-0.7356746,3.8690691,0.1325965,-3.8690691,-0.1325965,"China"
775,48,-1.157129,60,"Myanmar (Burma)",1993,"All","Myanmar",TRUE,2.955602,-1.396082,4.112731,0.238953,-4.112731,0.238953,"China"
775,49,-1.152974,4,"Myanmar (Burma)",1994,"All","Myanmar",TRUE,3.009216,-1.634709,4.16219,0.481735,-4.16219,0.481735,"China"
775,50,-1.531422,80,"Myanmar (Burma)",1995,"All","Myanmar",TRUE,3.130082,-1.502986,4.661504,0.0284360000000001,-4.661504,-0.0284360000000001,"China"
775,51,-1.682332,72,"Myanmar (Burma)",1996,"All","Myanmar",TRUE,3.14783,-1.268106,4.830162,0.414226,-4.830162,-0.414226,"China"
775,52,-1.505077,72,"Myanmar (Burma)",1997,"All","Myanmar",TRUE,2.983911,-1.145413,4.488988,0.359664,-4.488988,-0.359664,"China"
775,53,-1.057921,64,"Myanmar (Burma)",1998,"All","Myanmar",TRUE,2.814332,-0.4421162,3.872253,0.6158048,-3.872253,-0.6158048,"China"
775,54,-1.340186,68,"Myanmar (Burma)",1999,"All","Myanmar",TRUE,2.681448,-0.6680064,4.021634,0.6721796,-4.021634,-0.6721796,"China"
775,55,-1.369382,67,"Myanmar (Burma)",2000,"All","Myanmar",TRUE,2.664088,-0.7359335,4.03347,0.6334485,-4.03347,-0.6334485,"China"
775,56,-1.403949,68,"Myanmar (Burma)",2001,"All","Myanmar",TRUE,2.655105,-0.5852949,4.059054,0.8186541,-4.059054,-0.8186541,"China"
775,57,-1.274037,74,"Myanmar (Burma)",2002,"All","Myanmar",TRUE,2.733395,-0.5386405,4.007432,0.7353965,-4.007432,-0.7353965,"China"
775,58,-1.482567,75,"Myanmar (Burma)",2003,"All","Myanmar",TRUE,2.902368,-0.9454819,4.384935,0.5370851,-4.384935,-0.5370851,"China"
775,59,-1.323424,71,"Myanmar (Burma)",2004,"All","Myanmar",TRUE,2.819677,-0.8424348,4.143101,0.4809892,-4.143101,-0.4809892,"China"
775,60,-1.119268,73,"Myanmar (Burma)",2005,"All","Myanmar",TRUE,2.889729,-0.7408335,4.008997,0.3784345,-4.008997,-0.3784345,"China"
775,61,-1.219376,90,"Myanmar (Burma)",2006,"All","Myanmar",TRUE,2.81137,-0.8690618,4.030746,0.3503142,-4.030746,-0.3503142,"China"
775,62,-1.180168,79,"Myanmar (Burma)",2007,"All","Myanmar",TRUE,2.743266,-0.6327519,3.923434,0.5474161,-3.923434,-0.5474161,"China"
775,63,-1.334652,76,"Myanmar (Burma)",2008,"All","Myanmar",TRUE,2.737774,-0.6557925,4.072426,0.6788595,-4.072426,-0.6788595,"China"
775,64,-1.343642,62,"Myanmar (Burma)",2009,"All","Myanmar",TRUE,2.54631,-0.6256859,3.889952,0.7179561,-3.889952,-0.7179561,"China"
775,65,-1.066657,67,"Myanmar (Burma)",2010,"All","Myanmar",TRUE,2.519054,-0.8585649,3.585711,0.2080921,-3.585711,-0.2080921,"China"
775,66,-1.320165,54,"Myanmar (Burma)",2011,"All","Myanmar",TRUE,2.496376,-0.7636184,3.816541,0.5565466,-3.816541,-0.5565466,"China"
775,67,-0.9500457,61,"Myanmar (Burma)",2012,"All","Myanmar",TRUE,2.58958,-0.8569092,3.5396257,0.0931365,-3.5396257,-0.0931365,"China"
775,68,-1.235385,61,"Myanmar (Burma)",2013,"All","Myanmar",TRUE,2.676666,-0.5181141,3.912051,0.7172709,-3.912051,-0.7172709,"China"
