"ccode","session","IdealPoint","NVotes","Countryname","year","issue","country_label","is_asean"
2,22,2.426986,57,"United States",1967,"All","United States",FALSE
2,23,2.295532,51,"United States",1968,"All","United States",FALSE
2,24,2.119463,43,"United States",1969,"All","United States",FALSE
2,25,2.171009,67,"United States",1970,"All","United States",FALSE
2,26,1.767618,119,"United States",1971,"All","United States",FALSE
2,27,2.135975,100,"United States",1972,"All","United States",FALSE
2,28,2.195541,91,"United States",1973,"All","United States",FALSE
2,29,2.077391,73,"United States",1974,"All","United States",FALSE
2,30,2.360075,69,"United States",1975,"All","United States",FALSE
2,31,2.750583,85,"United States",1976,"All","United States",FALSE
2,32,2.313392,90,"United States",1977,"All","United States",FALSE
2,33,2.295686,124,"United States",1978,"All","United States",FALSE
2,34,2.354093,121,"United States",1979,"All","United States",FALSE
2,35,2.450686,103,"United States",1980,"All","United States",FALSE
2,36,2.767644,133,"United States",1981,"All","United States",FALSE
2,37,2.654563,158,"United States",1982,"All","United States",FALSE
2,38,2.653316,149,"United States",1983,"All","United States",FALSE
2,39,2.84451,151,"United States",1984,"All","United States",FALSE
2,40,2.85444,152,"United States",1985,"All","United States",FALSE
2,41,2.985282,151,"United States",1986,"All","United States",FALSE
2,42,3.070334,140,"United States",1987,"All","United States",FALSE
2,43,3.068073,133,"United States",1988,"All","United States",FALSE
2,44,3.15064,114,"United States",1989,"All","United States",FALSE
2,45,3.06766,84,"United States",1990,"All","United States",FALSE
2,46,2.977167,72,"United States",1991,"All","United States",FALSE
2,47,3.000798,73,"United States",1992,"All","United States",FALSE
2,48,2.955602,64,"United States",1993,"All","United States",FALSE
2,49,3.009216,68,"United States",1994,"All","United States",FALSE
2,50,3.130082,81,"United States",1995,"All","United States",FALSE
2,51,3.14783,74,"United States",1996,"All","United States",FALSE
2,52,2.983911,72,"United States",1997,"All","United States",FALSE
2,53,2.814332,64,"United States",1998,"All","United States",FALSE
2,54,2.681448,68,"United States",1999,"All","United States",FALSE
2,55,2.664088,67,"United States",2000,"All","United States",FALSE
2,56,2.655105,69,"United States",2001,"All","United States",FALSE
2,57,2.733395,75,"United States",2002,"All","United States",FALSE
2,58,2.902368,76,"United States",2003,"All","United States",FALSE
2,59,2.819677,72,"United States",2004,"All","United States",FALSE
