"ccode","session","year","country_label","is_asean","IdealPoint_All","NVotes_All","IdealPoint_HR","NVotes_HR","IdealPoint_Nuclear","NVotes_Nuclear","IdealPoint_ME","NVotes_ME","IdealPoint_Important","NVotes_Important","IdealPoint_NoNukes","NVotes_NoNukes"
2,22,1967,"United States",FALSE,2.426986,57,NA,NA,NA,NA,NA,NA,NA,NA,2.412595,53
2,23,1968,"United States",FALSE,2.295532,51,NA,NA,NA,NA,NA,NA,NA,NA,2.298023,47
2,24,1969,"United States",FALSE,2.119463,43,NA,NA,NA,NA,NA,NA,NA,NA,2.110631,41
2,25,1970,"United States",FALSE,2.171009,67,2.731292,14,NA,NA,NA,NA,NA,NA,2.138307,64
2,26,1971,"United States",FALSE,1.767618,119,2.55991,8,NA,NA,NA,NA,NA,NA,1.771414,114
2,27,1972,"United States",FALSE,2.135975,100,2.781617,15,NA,NA,NA,NA,NA,NA,2.173104,92
2,28,1973,"United States",FALSE,2.195541,91,2.760918,23,NA,NA,NA,NA,NA,NA,2.217385,86
2,29,1974,"United States",FALSE,2.077391,73,2.685759,20,NA,NA,3.222507,9,NA,NA,2.167212,62
2,30,1975,"United States",FALSE,2.360075,69,2.684721,21,NA,NA,3.160521,9,NA,NA,2.501608,58
2,31,1976,"United States",FALSE,2.750583,85,2.929598,15,NA,NA,3.325877,12,NA,NA,2.785702,76
2,32,1977,"United States",FALSE,2.313392,90,2.860904,18,NA,NA,3.262663,13,NA,NA,2.320957,81
2,33,1978,"United States",FALSE,2.295686,124,2.787261,14,2.972704,17,3.318952,16,NA,NA,2.245043,107
2,34,1979,"United States",FALSE,2.354093,121,3.125536,16,2.996378,16,3.157219,23,NA,NA,2.297626,105
2,35,1980,"United States",FALSE,2.450686,103,3.127616,18,3.123799,17,3.183525,22,NA,NA,2.369428,86
2,36,1981,"United States",FALSE,2.767644,133,3.275289,13,3.306909,18,3.479355,32,NA,NA,2.702694,115
2,37,1982,"United States",FALSE,2.654563,158,3.207003,21,3.401003,26,3.287364,34,NA,NA,2.630828,132
2,38,1983,"United States",FALSE,2.653316,149,2.967989,19,3.619651,32,2.976955,36,2.504208,8,2.577447,117
2,39,1984,"United States",FALSE,2.84451,151,3.013395,15,3.630322,25,3.013022,33,2.440089,8,2.760373,126
2,40,1985,"United States",FALSE,2.85444,152,3.10423,16,3.67775,25,2.916868,31,2.309937,9,2.773443,127
2,41,1986,"United States",FALSE,2.985282,151,3.070964,24,3.693312,24,2.877559,29,2.171326,10,2.940705,127
2,42,1987,"United States",FALSE,3.070334,140,3.106385,19,3.613828,19,3.195609,29,2.451228,9,3.031489,121
2,43,1988,"United States",FALSE,3.068073,133,2.974798,17,3.596776,21,2.87798,30,3.02045,6,3.013705,112
2,44,1989,"United States",FALSE,3.15064,114,2.927021,13,3.498615,20,2.840029,29,3.392913,14,3.136412,94
2,45,1990,"United States",FALSE,3.06766,84,2.939404,10,3.525317,17,2.809386,27,3.325712,8,3.048921,67
2,46,1991,"United States",FALSE,2.977167,72,2.921711,11,3.405946,11,2.853312,28,3.262035,10,2.959138,61
2,47,1992,"United States",FALSE,3.000798,73,2.713206,11,3.374019,9,2.942785,26,3.345111,16,2.943147,64
2,48,1993,"United States",FALSE,2.955602,64,2.82987,11,3.358857,5,3.114255,21,3.279363,13,2.923423,59
2,49,1994,"United States",FALSE,3.009216,68,3.102965,14,3.247449,10,3.711992,19,3.459286,15,3.07938,58
2,50,1995,"United States",FALSE,3.130082,81,3.471337,14,3.100058,12,3.866298,20,2.992701,28,3.284506,69
2,51,1996,"United States",FALSE,3.14783,74,3.438735,17,2.949102,11,4.117969,22,2.978976,11,3.406155,63
2,52,1997,"United States",FALSE,2.983911,72,3.380132,20,2.482245,9,4.164798,22,3.019311,11,3.260079,63
2,53,1998,"United States",FALSE,2.814332,64,2.950729,14,2.433795,11,3.49087,21,3.09124,10,3.009997,53
2,54,1999,"United States",FALSE,2.681448,68,2.75,19,2.407476,10,3.370431,21,3.466065,13,2.815928,58
2,55,2000,"United States",FALSE,2.664088,67,2.657247,17,2.366315,11,3.334748,22,3.372021,10,2.791143,56
2,56,2001,"United States",FALSE,2.655105,69,2.567887,21,2.381791,10,3.330121,22,3.188321,10,2.776079,59
2,57,2002,"United States",FALSE,2.733395,75,2.725257,19,2.511243,14,3.199743,22,2.992859,13,2.879599,61
2,58,2003,"United States",FALSE,2.902368,76,2.765358,22,2.504767,11,3.101676,19,2.859733,13,3.075062,65
2,59,2004,"United States",FALSE,2.819677,72,2.636171,19,2.540032,12,2.98883,17,2.62523,8,2.95537,60
2,60,2005,"United States",FALSE,2.889729,74,2.513429,20,2.450584,11,2.917548,15,2.523164,10,2.993309,63
2,61,2006,"United States",FALSE,2.81137,92,2.439074,27,2.577746,13,2.89344,19,2.367331,12,2.803737,79
2,62,2007,"United States",FALSE,2.743266,79,2.212346,26,2.63143,12,2.776826,15,2.271071,12,2.721347,67
2,63,2008,"United States",FALSE,2.737774,76,2.172848,26,2.627806,13,2.784284,16,2.144936,12,2.697073,63
2,64,2009,"United States",FALSE,2.54631,68,2.121915,24,2.50146,13,2.763938,16,2.134013,12,2.547983,55
2,65,2010,"United States",FALSE,2.519054,67,1.876482,23,2.473857,13,2.7001,15,1.93649,13,2.496517,54
2,66,2011,"United States",FALSE,2.496376,68,2.064047,24,2.320967,12,2.617484,15,2.196673,10,2.517181,56
2,67,2012,"United States",FALSE,2.58958,69,2.139595,22,2.427731,15,2.603581,16,2.368743,8,2.594647,54
2,68,2013,"United States",FALSE,2.676666,64,2.329978,21,2.324305,12,2.65013,16,2.4546,11,2.760444,52
2,69,2014,"United States",FALSE,2.668466,79,2.268829,17,2.361422,14,2.676415,15,2.363717,13,2.720512,65
2,70,2015,"United States",FALSE,2.592322,73,2.144144,20,2.217923,19,2.64551,14,2.429806,13,2.607562,54
2,71,2016,"United States",FALSE,2.53694,78,2.071962,18,2.185434,18,2.650488,13,2.25332,13,2.582056,60
2,72,2017,"United States",FALSE,2.680102,90,2.069325,29,2.10741,16,2.591945,17,2.51722,17,2.718879,74
