"session","year","issue","n_members","asean_mean","asean_sd","asean_min","asean_max","asean_range","us_idealpoint","china_idealpoint","mean_dist_us","mean_dist_china"
22,1967,"All",8,-0.1768498875,0.607147715445175,-1.209357,0.7157356,1.9250926,2.426986,NA,2.6038358875,NA
22,1967,"Non-Nuclear",8,-0.178738875,0.58793928825052,-1.156108,0.69745,1.853558,2.412595,NA,2.591333875,NA
23,1968,"All",8,-0.04233629875,0.702503961092059,-1.534384,0.5581455,2.0925295,2.295532,NA,2.33786829875,NA
23,1968,"Non-Nuclear",8,-0.04387342875,0.675329406233576,-1.471277,0.5356795,2.0069565,2.298023,NA,2.34189642875,NA
24,1969,"All",8,-0.0343190375,0.688752177561755,-1.506618,0.4881419,1.9947599,2.119463,NA,2.1537820375,NA
24,1969,"Non-Nuclear",8,-0.0356068125,0.66968587887711,-1.45983,0.4785297,1.9383597,2.110631,NA,2.1462378125,NA
25,1970,"All",8,0.23353621625,0.292348388541658,-0.2869801,0.6442254,0.9312055,2.171009,NA,1.93747278375,NA
25,1970,"Human Rights",8,0.59444054875,0.358587285724659,0.03717709,1.086674,1.04949691,2.731292,NA,2.13685145125,NA
25,1970,"Non-Nuclear",8,0.22720909,0.289924986966017,-0.2999495,0.6297724,0.9297219,2.138307,NA,1.91109791,NA
26,1971,"All",8,0.1980625125,0.380851671779142,-0.2521065,0.6746581,0.9267646,1.767618,-0.9760724,1.5695554875,1.1741349125
26,1971,"Human Rights",8,0.45490495,0.470775000819357,-0.2724767,0.9420456,1.2145223,2.55991,-1.194589,2.10500505,1.64949395
26,1971,"Non-Nuclear",8,0.1939196875,0.382294008997493,-0.2573515,0.6804226,0.9377741,1.771414,-0.874594,1.5774943125,1.0685136875
27,1972,"All",8,0.225222,0.35992072790054,-0.252745,0.7412372,0.9939822,2.135975,-0.7156992,1.910753,0.9409212
27,1972,"Human Rights",8,0.37970839125,0.602263213046397,-0.3978468,1.256538,1.6543848,2.781617,-1.144478,2.40190860875,1.52418639125
27,1972,"Non-Nuclear",8,0.2115093625,0.358723955951771,-0.2507033,0.7423571,0.9930604,2.173104,-0.8152633,1.9615946375,1.0267726625
28,1973,"All",8,0.143454419625,0.217435313827521,-0.0760203,0.6079318,0.6839521,2.195541,-0.5740909,2.052086580375,0.717545319625
28,1973,"Human Rights",8,0.168615895,0.323741858987671,-0.3459432,0.7211326,1.0670758,2.760918,-0.9851026,2.592302105,1.153718495
28,1973,"Non-Nuclear",8,0.136116030625,0.219470602492233,-0.07961772,0.6050685,0.68468622,2.217385,-0.5512493,2.081268969375,0.687365330625
29,1974,"All",8,0.25040109875,0.159834883925473,0.06495108,0.5541103,0.48915922,2.077391,-0.8566171,1.82698990125,1.10701819875
29,1974,"Human Rights",8,0.055796025,0.422254534399362,-0.40914,0.93426,1.3434,2.685759,-0.7454699,2.629962975,0.801265925
29,1974,"Middle East",8,-0.24221274875,0.786349778843379,-1.115632,1.140638,2.25627,3.222507,-1.119156,3.46471974875,0.87694325125
29,1974,"Non-Nuclear",8,0.2395638775,0.176533349610784,0.01686028,0.5707035,0.55384322,2.167212,-0.806259,1.9276481225,1.0458228775
30,1975,"All",8,-0.0312802325,0.254189701423083,-0.4062437,0.2437402,0.6499839,2.360075,-0.2756341,2.3913552325,0.2443538675
30,1975,"Human Rights",8,-0.141321998875,0.162514671177295,-0.3979517,0.04768693,0.44563863,2.684721,-0.8149996,2.826042998875,0.673677601125
30,1975,"Middle East",8,-0.48500025,0.530507060923173,-1.111353,0.1317778,1.2431308,3.160521,-1.153857,3.64552125,0.66885675
30,1975,"Non-Nuclear",8,-0.0660944825,0.261203055617643,-0.4365434,0.2260896,0.662633,2.501608,-0.331507,2.5677024825,0.2654125175
31,1976,"All",8,-0.257563935,0.24294886323362,-0.7220857,0.04754302,0.76962872,2.750583,-1.053044,3.008146935,0.795480065
31,1976,"Human Rights",8,-0.16463984375,0.222043719525992,-0.4794846,0.06883274,0.54831734,2.929598,-0.980486,3.09423784375,0.81584615625
31,1976,"Middle East",8,-0.6470423,0.423305922555064,-1.157301,-0.141782,1.015519,3.325877,-1.158594,3.9729193,0.5115517
31,1976,"Non-Nuclear",8,-0.28643550375,0.247660406843823,-0.7455634,0.05017957,0.79574297,2.785702,-1.13053,3.07213750375,0.84409449625
32,1977,"All",8,-0.20071715375,0.445755035803936,-1.118072,0.2098513,1.3279233,2.313392,-0.8193988,2.51410915375,0.61868164625
32,1977,"Human Rights",8,-0.3080605657625,0.384080599697601,-0.9772772,-0.0002283961,0.9770488039,2.860904,-0.9641992,3.1689645657625,0.6561386342375
32,1977,"Middle East",8,-0.6571975875,0.462173772559183,-1.121061,-0.0880775,1.0329835,3.262663,-1.14764,3.9198605875,0.4904424125
32,1977,"Non-Nuclear",8,-0.2017832135,0.441619685563572,-1.093124,0.2268612,1.3199852,2.320957,-0.8797116,2.5227402135,0.6779283865
33,1978,"All",9,-0.20099436,0.44387726998881,-0.9167195,0.3208412,1.2375607,2.295686,-0.2469549,2.49668036,0.04596054
33,1978,"Human Rights",9,-0.452257166666667,0.374519711312098,-1.237508,-0.1229667,1.1145413,2.787261,-0.9632952,3.23951816666667,0.511038033333333
