"year","founder_mean_ip","founder_sd","n_founders","vietnam_ip","china_ip","us_ip","delta_vietnam","delta_founders","delta_china"
1967,-0.01269866,0.547146408912905,5,NA,NA,2.426986,NA,NA,NA
1968,0.223568702,0.376423468033673,5,NA,NA,2.295532,NA,0.236267362,NA
1969,0.19549644,0.415006769710812,5,NA,NA,2.119463,NA,-0.028072262,NA
1970,0.197643586,0.357306794855495,5,NA,NA,2.171009,NA,0.00214714599999999,NA
1971,0.14036164,0.354618664577378,5,NA,-0.9760724,1.767618,NA,-0.057281946,NA
1972,0.1677603,0.343113887229605,5,NA,-0.7156992,2.135975,NA,0.02739866,0.2603732
1973,0.057070536,0.106233558046243,5,NA,-0.5740909,2.195541,NA,-0.110689764,0.1416083
1974,0.215054276,0.107221287312799,5,NA,-0.8566171,2.077391,NA,0.15798374,-0.2825262
1975,0.10577192,0.176114625243874,5,NA,-0.2756341,2.360075,NA,-0.109282356,0.580983
1976,-0.106608996,0.0867946049490985,5,NA,-1.053044,2.750583,NA,-0.212380916,-0.7774099
1977,0.077727934,0.108630339345689,5,-1.118072,-0.8193988,2.313392,NA,0.18433693,0.2336452
1978,0.062127852,0.187111371021951,5,-0.9167195,-0.2469549,2.295686,0.2013525,-0.015600082,0.5724439
1979,0.110375826,0.206648159591056,5,-1.241613,-0.05311142,2.354093,-0.3248935,0.048247974,0.19384348
1980,0.0531309348,0.219402087249737,5,-1.527004,-0.03347984,2.450686,-0.285391,-0.0572448912,0.01963158
1981,-0.08461391,0.21421902742325,5,-1.778034,-0.02059494,2.767644,-0.25103,-0.1377448448,0.0128849
1982,0.002983846,0.241179472619668,5,-1.645482,0.1867089,2.654563,0.132552,0.087597756,0.20730384
1983,-0.035218288,0.208324078516823,5,-1.619061,0.1706566,2.653316,0.0264209999999998,-0.038202134,-0.0160523
1984,-0.1412763656,0.115510897178422,5,-1.458783,0.1715943,2.84451,0.160278,-0.1060580776,0.000937700000000014
1985,-0.127021704,0.171548004179768,5,-1.589165,0.1814985,2.85444,-0.130382,0.0142546616,0.0099042
1986,-0.220306032,0.219837317940304,5,-1.527537,0.1866047,2.985282,0.061628,-0.093284328,0.00510620000000001
1987,-0.257136592,0.238288274179762,5,-1.223249,0.1958159,3.070334,0.304288,-0.03683056,0.00921119999999997
1988,-0.252478672,0.273733318316022,5,-1.293178,-0.02298023,3.068073,-0.0699289999999999,0.00465791999999998,-0.21879613
1989,-0.36084504,0.276841416503172,5,-0.7832253,-0.07522176,3.15064,0.5099527,-0.108366368,-0.05224153
1990,-0.55400068,0.247448063415683,5,-0.9032005,-0.1670653,3.06766,-0.1199752,-0.19315564,-0.09184354
1991,-0.83490894,0.357297242150689,5,-1.041696,-0.3023714,2.977167,-0.1384955,-0.28090826,-0.1353061
1992,-0.68030074,0.427928353314557,5,-1.299378,-0.7356746,3.000798,-0.257682,0.1546082,-0.4333032
1993,-0.81945598,0.45395012752241,5,-1.610302,-1.396082,2.955602,-0.310924,-0.13915524,-0.6604074
1994,-0.74173406,0.416913208589052,5,-1.658764,-1.634709,3.009216,-0.048462,0.0777219200000001,-0.238627
1995,-0.73471848,0.390495132184983,5,-1.545748,-1.502986,3.130082,0.113016,0.00701558000000002,0.131723
1996,-0.7559618,0.410962405629907,5,-1.421923,-1.268106,3.14783,0.123825,-0.0212433200000001,0.23488
1997,-0.82582884,0.283148291697872,5,-1.55807,-1.145413,2.983911,-0.136147,-0.06986704,0.122693
1998,-0.66346408,0.287275271101042,5,-1.311989,-0.4421162,2.814332,0.246081,0.16236476,0.7032968
1999,-0.65721652,0.228980529208723,5,-1.474536,-0.6680064,2.681448,-0.162547,0.00624756000000004,-0.2258902
2000,-0.53035652,0.303081713892503,5,-1.298028,-0.7359335,2.664088,0.176508,0.12686,-0.0679271
2001,-0.60323848,0.335613144790698,5,-1.380804,-0.5852949,2.655105,-0.082776,-0.07288196,0.1506386
2002,-0.55824266,0.32252691335689,5,-1.425747,-0.5386405,2.733395,-0.0449430000000002,0.04499582,0.0466544
2003,-0.5729615,0.370934815790504,5,-1.532455,-0.9454819,2.902368,-0.106708,-0.01471884,-0.4068414
2004,-0.5409862,0.411637126199478,5,-1.485679,-0.8424348,2.819677,0.0467759999999999,0.0319752999999999,0.1030471
2005,-0.68648316,0.4414415672496,5,-1.405593,-0.7408335,2.889729,0.0800859999999999,-0.14549696,0.1016013
2006,-0.61875866,0.406893792025662,5,-1.417416,-0.8690618,2.81137,-0.0118229999999999,0.0677245,-0.1282283
2007,-0.63732438,0.440884930326658,5,-1.223048,-0.6327519,2.743266,0.194368,-0.01856572,0.2363099
2008,-0.62357098,0.328789381642203,5,-1.290977,-0.6557925,2.737774,-0.0679290000000001,0.0137534,-0.0230406
2009,-0.70281798,0.314779813560729,5,-1.297024,-0.6256859,2.54631,-0.00604699999999991,-0.079247,0.0301066
2010,-0.78708734,0.371792855697105,5,-1.294863,-0.8585649,2.519054,0.00216099999999986,-0.0842693600000001,-0.232879
2011,-0.60177484,0.197042130610393,5,-1.226559,-0.7636184,2.496376,0.0683040000000001,0.1853125,0.0949464999999999
2012,-0.6155848,0.242419235932558,5,-1.144086,-0.8569092,2.58958,0.082473,-0.01380996,-0.0932908
2013,-0.62109208,0.19434501100681,5,-1.118149,-0.5181141,2.676666,0.0259369999999999,-0.00550728,0.3387951
